"date","price","receive_count","sent_count","avg_fee","blocksize","btchashrate","OIL","ecr20_transfers","GOLD","searches","hashrate","marketcap","difficulty","s&p500","transactionfee","transactions","tweet_count","unique_adresses","VIX","UVYX"
2016-12-18,7.89,7441,12199,0.01,1345,2343510.43263714,51.9,557,1220.9,1,6594.1816,686.845620790313,87.76,2258.07,2.7723246559895e+19,36640,1898,912585,12.2,8850
2016-12-19,7.61,8044,15568,0.01,1616,2343510.43263714,52.12,2228,1225.9,1,6588.4056,662.71036152375,88.902,2262.53,36451357768973606912,45599,2955,914696,11.71,8230
2016-12-20,7.59,8535,15678,0.01,1536,2343510.43263714,52.23,999,1217,1,6748.3212,661.209045574687,90.508,2270.76,43901597465334611968,44241,2904,917034,11.45,7910
2016-12-21,7.87,8839,14692,0.01,1769,2451435.25519279,52.49,5382,1216.5,1,6696.8063,685.8501107975,90.111,2265.18,54747365402673831936,50793,2514,918936,11.27,7670
2016-12-22,7.64,8766,21219,0.01,1762,2451435.25519279,52.95,3739,1213.8,1,6475.333,666.0436125075,88.552,2260.96,38844405597480919040,55173,2557,927709,11.43,7890
2016-12-23,7.16,7693,16151,0,1522,2451435.25519279,53.02,1924,1216.8,1,6022.6423,624.42074069875,82.166,2263.79,29673669189633576960,44391,2213,931859,11.44,7830
2016-12-24,7.23,7159,14272,0,1361,2574777.90954212,53.02,550,1216.8,1,5671.6635,630.751906050937,76.928,2263.79,25817525349092126720,37757,2168,933627,11.44,7830
2016-12-25,7.19,6388,13110,0,1317,2574777.90954212,53.02,565,1135,1,5939.9539,627.492409615312,78.75,2263.79,24217901540017729536,36601,2092,934939,11.44,7830
2016-12-26,7.21,6498,12986,0,1294,2574777.90954212,53.19,636,1134.55,1,6147.6001,629.466026531563,82.528,2263.79,23120413010232811520,34565,2460,936356,11.44,7830
2016-12-27,7.15,7156,13406,0.01,1558,2589949.6705277,53.9,2865,1221.9,1,5943.6228,624.451021614062,80.947,2268.88,36398134576455098368,42370,2280,938065,11.99,7630
2016-12-28,7.57,7699,13942,0.01,1531,2589949.6705277,54.06,1466,1224,1,5906.9011,661.37105619125,79.482,2249.92,31575304426588827648,43386,2142,940084,12.95,8160
2016-12-29,8.21,8536,13920,0.01,1678,2589949.6705277,53.77,1915,1241.2,1,5885.5378,717.54741044875,78.498,2249.26,40700293206458892288,46546,2424,942696,13.37,8380
2016-12-30,8.16,7878,14006,0.01,1623,2337271.65389085,53.72,2031,1234.5,1,5892.7281,713.43597213,78.996,2238.83,44810910765726425088,44561,2272,945119,14.04,8750
2016-12-31,8.05,8545,14339,0.01,1544,2337271.65389085,53.72,568,1234.5,1,5957.5536,704.069961853125,81.073,2238.83,28598800805711720448,41220,2161,948080,14.04,8750
2017-01-01,8.14,6511,13050,0.01,1390,2337271.65389085,53.72,489,1234.5,2,5962.5576,712.199982498125,79.895,2238.83,2.5262224854177e+19,38730,1791,949686,14.04,8750
2017-01-02,8.34,7688,14029,0.01,1458,2589949.6705277,54.03,683,1151.05,2,5979.936,729.9617202825,80.591,2238.83,28118341055529410560,39652,1751,951934,14.04,8750
2017-01-03,9.6,8512,13429,0.01,1627,2589949.6705277,52.33,3083,1244.7,2,5984.9265,840.5463303,80.545,2257.83,40245343098687602688,45883,2639,954595,12.85,7500
